_id,type,value,unit,location,deviceId,timestamp,receivedAt
6a30c893ffdab552d5509cf2,amplitude,56.8,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:52:50.781Z,2026-06-16T03:52:51.058Z
6a30c897ffdab552d5509cf5,amplitude,60.59,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:52:55.795Z,2026-06-16T03:52:55.978Z
6a30c89dffdab552d5509cf8,amplitude,69.65,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:53:00.802Z,2026-06-16T03:53:01.092Z
6a30c8a2ffdab552d5509cfb,amplitude,59.99,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:53:05.797Z,2026-06-16T03:53:06.003Z
6a30c8a7ffdab552d5509cfe,amplitude,73.89,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:53:10.804Z,2026-06-16T03:53:11.024Z
6a30c8acffdab552d5509d01,amplitude,62.64,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:53:15.810Z,2026-06-16T03:53:16.039Z
6a30c8b1ffdab552d5509d04,amplitude,69.52,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:53:20.820Z,2026-06-16T03:53:21.055Z
6a30c8b6ffdab552d5509d07,amplitude,56.71,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:53:25.832Z,2026-06-16T03:53:26.075Z
6a30c8bbffdab552d5509d0a,amplitude,66.62,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:53:30.832Z,2026-06-16T03:53:31.090Z
6a30c8c0ffdab552d5509d0d,amplitude,54.73,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:53:35.841Z,2026-06-16T03:53:36.115Z
6a30c8c5ffdab552d5509d10,amplitude,53.04,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:53:40.847Z,2026-06-16T03:53:41.003Z
6a30c8caffdab552d5509d13,amplitude,52.76,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:53:45.850Z,2026-06-16T03:53:46.161Z
6a30c8cfffdab552d5509d16,amplitude,53,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:53:50.863Z,2026-06-16T03:53:51.173Z
6a30c8d4ffdab552d5509d19,amplitude,52.91,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:53:55.903Z,2026-06-16T03:53:56.100Z
6a30c8d9ffdab552d5509d1c,amplitude,51.63,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:54:00.871Z,2026-06-16T03:54:01.094Z
6a30c8deffdab552d5509d1f,amplitude,48.07,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:54:05.877Z,2026-06-16T03:54:06.121Z
6a30c8e3ffdab552d5509d22,amplitude,58.36,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:54:10.902Z,2026-06-16T03:54:11.130Z
6a30c8e8ffdab552d5509d25,amplitude,57.11,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:54:15.911Z,2026-06-16T03:54:16.144Z
6a30c8edffdab552d5509d28,amplitude,48.8,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:54:20.887Z,2026-06-16T03:54:21.163Z
6a30c8f2ffdab552d5509d2b,amplitude,47.32,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:54:25.904Z,2026-06-16T03:54:26.109Z
6a30c8f7ffdab552d5509d2e,amplitude,50.51,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:54:30.917Z,2026-06-16T03:54:31.194Z
6a30c8fcffdab552d5509d31,amplitude,46.54,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:54:35.961Z,2026-06-16T03:54:36.348Z
6a30c901ffdab552d5509d34,amplitude,55.1,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:54:40.936Z,2026-06-16T03:54:41.238Z
6a30c906ffdab552d5509d37,amplitude,47.61,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:54:45.942Z,2026-06-16T03:54:46.148Z
6a30c90bffdab552d5509d3a,amplitude,47.11,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:54:50.945Z,2026-06-16T03:54:51.166Z
6a30c910ffdab552d5509d3d,amplitude,50.29,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:54:55.951Z,2026-06-16T03:54:56.183Z
6a30c915ffdab552d5509d40,amplitude,46.58,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:55:00.958Z,2026-06-16T03:55:01.201Z
6a30c91affdab552d5509d43,amplitude,46.86,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:55:05.959Z,2026-06-16T03:55:06.108Z
6a30c91fffdab552d5509d46,amplitude,47.49,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:55:10.963Z,2026-06-16T03:55:11.222Z
6a30c924ffdab552d5509d49,amplitude,55.27,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:55:15.968Z,2026-06-16T03:55:16.132Z
6a30c929ffdab552d5509d4c,amplitude,47.3,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:55:20.978Z,2026-06-16T03:55:21.147Z
6a30c92effdab552d5509d4f,amplitude,55.59,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:55:25.987Z,2026-06-16T03:55:26.133Z
6a30c933ffdab552d5509d52,amplitude,54.69,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:55:31.003Z,2026-06-16T03:55:31.150Z
6a30c938ffdab552d5509d55,amplitude,51.75,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:55:36.008Z,2026-06-16T03:55:36.170Z
6a30c93dffdab552d5509d58,amplitude,48.5,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:55:41.008Z,2026-06-16T03:55:41.178Z
6a30c942ffdab552d5509d5b,amplitude,46.41,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:55:46.024Z,2026-06-16T03:55:46.257Z
6a30c947ffdab552d5509d5e,amplitude,52.12,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:55:51.031Z,2026-06-16T03:55:51.275Z
6a30c94cffdab552d5509d61,amplitude,45.44,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:55:56.049Z,2026-06-16T03:55:56.295Z
6a30c951ffdab552d5509d64,amplitude,54.5,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:56:01.058Z,2026-06-16T03:56:01.321Z
6a30c956ffdab552d5509d67,amplitude,47.11,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:56:06.078Z,2026-06-16T03:56:06.262Z
6a30c95bffdab552d5509d6a,amplitude,80.02,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:56:11.086Z,2026-06-16T03:56:11.230Z
6a30c960ffdab552d5509d6d,amplitude,54.76,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:56:16.091Z,2026-06-16T03:56:16.368Z
6a30c965ffdab552d5509d70,amplitude,46.81,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:56:21.092Z,2026-06-16T03:56:21.254Z
6a30c96affdab552d5509d73,amplitude,60.8,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:56:26.091Z,2026-06-16T03:56:26.256Z
6a30c96fffdab552d5509d76,amplitude,61.55,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:56:31.107Z,2026-06-16T03:56:31.361Z
6a30c974ffdab552d5509d79,amplitude,63.65,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:56:36.103Z,2026-06-16T03:56:36.330Z
6a30c979ffdab552d5509d7c,amplitude,71.42,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:56:41.128Z,2026-06-16T03:56:41.348Z
6a30c97effdab552d5509d7f,amplitude,61.54,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:56:46.151Z,2026-06-16T03:56:46.365Z
6a30c983ffdab552d5509d82,amplitude,69.93,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:56:51.131Z,2026-06-16T03:56:51.383Z
6a30c988ffdab552d5509d85,amplitude,57.89,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:56:56.142Z,2026-06-16T03:56:56.401Z
6a30c98dffdab552d5509d88,amplitude,57.72,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:57:01.156Z,2026-06-16T03:57:01.422Z
6a30c992ffdab552d5509d8b,amplitude,58.85,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:57:06.155Z,2026-06-16T03:57:06.340Z
6a30c997ffdab552d5509d8e,amplitude,57.11,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:57:11.179Z,2026-06-16T03:57:11.352Z
6a30c99cffdab552d5509d91,amplitude,71.92,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:57:16.175Z,2026-06-16T03:57:16.388Z
6a30c9a1ffdab552d5509d94,amplitude,64.91,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:57:21.204Z,2026-06-16T03:57:21.490Z
6a30c9a6ffdab552d5509d97,amplitude,61.9,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:57:26.199Z,2026-06-16T03:57:26.405Z
6a30c9abffdab552d5509d9a,amplitude,68.54,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:57:31.206Z,2026-06-16T03:57:31.423Z
6a30c9b0ffdab552d5509d9d,amplitude,64.39,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:57:36.217Z,2026-06-16T03:57:36.440Z
6a30c9b5ffdab552d5509da0,amplitude,60.97,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:57:41.285Z,2026-06-16T03:57:41.561Z
6a30c9baffdab552d5509da3,amplitude,63.71,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:57:46.248Z,2026-06-16T03:57:46.475Z
6a30c9bfffdab552d5509da6,amplitude,51.72,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:57:51.247Z,2026-06-16T03:57:51.425Z
6a30c9c4ffdab552d5509da9,amplitude,50.63,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:57:56.255Z,2026-06-16T03:57:56.525Z
6a30c9c9ffdab552d5509dac,amplitude,51.13,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:58:01.274Z,2026-06-16T03:58:01.429Z
6a30c9ceffdab552d5509daf,amplitude,61.54,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:58:06.258Z,2026-06-16T03:58:06.453Z
6a30c9d3ffdab552d5509db2,amplitude,56.42,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:58:11.262Z,2026-06-16T03:58:11.460Z
6a30c9d8ffdab552d5509db5,amplitude,57.3,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:58:16.267Z,2026-06-16T03:58:16.423Z
6a30c9ddffdab552d5509db8,amplitude,52.94,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:58:21.308Z,2026-06-16T03:58:21.496Z
6a30c9e2ffdab552d5509dbb,amplitude,62.11,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:58:26.285Z,2026-06-16T03:58:26.516Z
6a30c9e7ffdab552d5509dbe,amplitude,63.95,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:58:31.287Z,2026-06-16T03:58:31.531Z
6a30c9ecffdab552d5509dc1,amplitude,59.93,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:58:36.293Z,2026-06-16T03:58:36.456Z
6a30c9f1ffdab552d5509dc4,amplitude,63.03,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:58:41.317Z,2026-06-16T03:58:41.499Z
6a30c9f6ffdab552d5509dc7,amplitude,55.66,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:58:46.308Z,2026-06-16T03:58:46.477Z
6a30c9fbffdab552d5509dca,amplitude,62.31,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:58:51.321Z,2026-06-16T03:58:51.500Z
6a30ca00ffdab552d5509dcd,amplitude,88.28,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:58:56.323Z,2026-06-16T03:58:56.524Z
6a30ca05ffdab552d5509dd0,amplitude,49.22,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:59:01.331Z,2026-06-16T03:59:01.489Z
6a30ca0affdab552d5509dd3,amplitude,49.58,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:59:06.333Z,2026-06-16T03:59:06.504Z
6a30ca0fffdab552d5509dd6,amplitude,50.07,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:59:11.336Z,2026-06-16T03:59:11.487Z
6a30ca14ffdab552d5509dd9,amplitude,45.48,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:59:16.345Z,2026-06-16T03:59:16.519Z
6a30ca19ffdab552d5509ddc,amplitude,56.52,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:59:21.361Z,2026-06-16T03:59:21.510Z
6a30ca1effdab552d5509ddf,amplitude,51.16,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:59:26.371Z,2026-06-16T03:59:26.543Z
6a30ca23ffdab552d5509de2,amplitude,47.89,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:59:31.376Z,2026-06-16T03:59:31.516Z
6a30ca28ffdab552d5509de5,amplitude,49.55,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:59:36.393Z,2026-06-16T03:59:36.548Z
6a30ca2dffdab552d5509de8,amplitude,56.33,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:59:41.387Z,2026-06-16T03:59:41.544Z
6a30ca32ffdab552d5509deb,amplitude,51.22,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:59:46.395Z,2026-06-16T03:59:46.538Z
6a30ca37ffdab552d5509dee,amplitude,50.94,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:59:51.393Z,2026-06-16T03:59:51.545Z
6a30ca3cffdab552d5509df1,amplitude,72.46,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:59:56.407Z,2026-06-16T03:59:56.578Z
6a30ca41ffdab552d5509df4,amplitude,51.49,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T04:00:01.418Z,2026-06-16T04:00:01.593Z
6a30ca46ffdab552d5509df7,amplitude,51.41,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T04:00:06.426Z,2026-06-16T04:00:06.599Z
6a30ca4bffdab552d5509dfa,amplitude,52.22,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T04:00:11.433Z,2026-06-16T04:00:11.593Z
6a30ca50ffdab552d5509dfd,amplitude,51.87,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T04:00:16.446Z,2026-06-16T04:00:16.600Z
